Ticker,Report Date,Currency,Fiscal Year,Fiscal Period,Revenue,Cost of Revenue,Operating Income (Loss),Operating Expenses,Depreciation & Amortization,EBITDA,country_code,primary_ticker,account_number,organization,survey_year,response_received_date,country,region,authority_types,activities,sectors,industries,primary_activity,primary_sector,primary_industry,primary_questionnaire_sector
AAPL,2019-09-30,USD,2019,FY,260174000000.0,-161782000000.0,63930000000.0,-34462000000.0,12547000000.0,76477000000.0,US,AAPL US,865.0,Apple Inc.,2019.0,2019-07-19T07:18:45Z,United States of America,," Investor, Supply Chain"," Communications equipment, Computer hardware, Discretionary delivery retail, Electronic equipment"," Discretionary retail, Electrical & electronic equipment"," Manufacturing, Retail",Communications equipment,Electrical & electronic equipment,Manufacturing,General
AAPL,2020-09-30,USD,2020,FY,274515000000.0,-169559000000.0,66288000000.0,-38668000000.0,11056000000.0,77344000000.0,US,AAPL US,865.0,Apple Inc.,2020.0,2020-08-27T04:25:49Z,United States of America,," Investor, Supply Chain"," Communications equipment, Computer hardware, Discretionary delivery retail, Electronic equipment"," Discretionary retail, Electrical & electronic equipment"," Manufacturing, Retail",Communications equipment,Electrical & electronic equipment,Manufacturing,General
AAWW,2017-12-31,USD,2017,FY,2156460000.0,-1062797000.0,613608000.0,-480055000.0,197463000.0,811071000.0,,,,,,,,,,,,,,,,
AAWW,2018-12-31,USD,2018,FY,2677724000.0,-1362989000.0,735355000.0,-579380000.0,265553000.0,1000908000.0,,,,,,,,,,,,,,,,
AAWW,2019-12-31,USD,2019,FY,2739189000.0,-1465339000.0,618021000.0,-655829000.0,316821000.0,934842000.0,,,,,,,,,,,,,,,,
AAXN,2017-12-31,USD,2017,FY,343798000.0,-136710000.0,13023000.0,-194065000.0,8041000.0,21064000.0,,,,,,,,,,,,,,,,
AAXN,2018-12-31,USD,2018,FY,420068000.0,-161485000.0,24841000.0,-233742000.0,10615000.0,35456000.0,,,,,,,,,,,,,,,,
AAXN,2019-12-31,USD,2019,FY,530860000.0,-223574000.0,-6394000.0,-313680000.0,11361000.0,4967000.0,,,,,,,,,,,,,,,,
AB,2017-12-31,USD,2017,FY,,,,,,0.0,,,,,,,,,,,,,,,,
AB,2018-12-31,USD,2018,FY,,,,,,0.0,,,,,,,,,,,,,,,,
ABAX,2018-03-31,USD,2017,FY,244700000.0,-111091000.0,38655000.0,-94954000.0,8006000.0,46661000.0,,,,,,,,,,,,,,,,
ABBV,2017-12-31,USD,2017,FY,28216000000.0,-7040000000.0,9919000000.0,-11257000000.0,1501000000.0,11420000000.0,,,,,,,,,,,,,,,,
ABBV,2018-12-31,USD,2018,FY,32753000000.0,-7718000000.0,7307000000.0,-17728000000.0,1765000000.0,9072000000.0,US,ABBV US,45103.0,AbbVie Inc,2018.0,2018-08-23T00:00:00Z,United States of America,," Investor, Supply Chain", Pharmaceuticals, Biotech & pharma," Biotech, health care & pharma",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General
ABBV,2019-12-31,USD,2019,FY,33266000000.0,-7439000000.0,12478000000.0,-13349000000.0,2017000000.0,14495000000.0,US,ABBV US,45103.0,AbbVie Inc,2019.0,2019-07-29T20:54:40Z,United States of America,," Investor, Supply Chain", Pharmaceuticals, Biotech & pharma," Biotech, health care & pharma",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General
ABC,2017-09-30,USD,2017,FY,153143826000.0,-148597824000.0,2019669000.0,-2526333000.0,432331000.0,2452000000.0,,,,,,,,,,,,,,,,
ABC,2018-09-30,USD,2018,FY,167939635000.0,-163327318000.0,1686889000.0,-2925428000.0,510109000.0,2196998000.0,US,ABC US,710.0,AmerisourceBergen Corp.,2018.0,2018-09-12T00:00:00Z,United States of America,," Investor, Supply Chain"," Dealers, wholesalers & distributors, Pharma & health care supplies wholesale & distribution"," Trading, wholesale, distribution, rental & leasing", Retail,"Dealers, wholesalers & distributors","Trading, wholesale, distribution, rental & leasing",Retail,General
ABC,2019-09-30,USD,2019,FY,179589121000.0,-174450809000.0,2012397000.0,-3125915000.0,497512000.0,2509909000.0,US,ABC US,710.0,AmerisourceBergen Corp.,2019.0,2019-07-31T18:33:13Z,United States of America,," Investor, Supply Chain"," Dealers, wholesalers & distributors, Pharma & health care supplies wholesale & distribution"," Trading, wholesale, distribution, rental & leasing", Retail,Pharma & health care supplies wholesale & distribution,"Trading, wholesale, distribution, rental & leasing",Retail,General
ABCD,2017-12-31,USD,2017,FY,158184000.0,-45534000.0,26112000.0,-86538000.0,20765000.0,46877000.0,,,,,,,,,,,,,,,,
ABD,2017-12-31,USD,2017,FY,1948800000.0,-1292400000.0,214700000.0,-441700000.0,71200000.0,285900000.0,,,,,,,,,,,,,,,,
ABD,2018-12-31,USD,2018,FY,1941200000.0,-1313400000.0,198700000.0,-429100000.0,70700000.0,269400000.0,,,,,,,,,,,,,,,,
ABD,2019-12-31,USD,2019,FY,1955700000.0,-1322200000.0,208200000.0,-425300000.0,70300000.0,278500000.0,,,,,,,,,,,,,,,,
ABG,2017-12-31,USD,2017,FY,6456500000.0,-5400600000.0,287700000.0,-768200000.0,32100000.0,319800000.0,,,,,,,,,,,,,,,,
ABG,2018-12-31,USD,2018,FY,6874400000.0,-5771400000.0,310900000.0,-792100000.0,33700000.0,344600000.0,,,,,,,,,,,,,,,,
ABG,2019-12-31,USD,2019,FY,7210300000.0,-6041400000.0,325000000.0,-843900000.0,36200000.0,361200000.0,,,,,,,,,,,,,,,,
ABM,2017-10-31,USD,2017,FY,5453600000.0,-4881200000.0,83300000.0,-489100000.0,70100000.0,153400000.0,,,,,,,,,,,,,,,,
ABM,2018-10-31,USD,2018,FY,6442200000.0,-5747400000.0,165100000.0,-529700000.0,112500000.0,277600000.0,US,ABM US,58.0,ABM INDUSTRIES INC,2018.0,2018-09-10T00:00:00Z,United States of America,, Supply Chain, Commercial services, Commercial & consumer services, Services,Commercial services,Commercial & consumer services,Services,General
ABM,2019-10-31,USD,2019,FY,6498600000.0,-5767500000.0,208500000.0,-522600000.0,107400000.0,315900000.0,US,ABM US,58.0,ABM INDUSTRIES INC,2019.0,2019-07-31T22:07:54Z,United States of America,, Supply Chain, Commercial services, Commercial & consumer services, Services,Commercial services,Commercial & consumer services,Services,General
ABMC,2017-12-31,USD,2017,FY,4914000.0,-2917000.0,-311000.0,-2308000.0,80000.0,-231000.0,,,,,,,,,,,,,,,,
ABMC,2018-12-31,USD,2018,FY,3872000.0,-2584000.0,-762000.0,-2050000.0,81000.0,-681000.0,,,,,,,,,,,,,,,,
ABMC,2019-12-31,USD,2019,FY,3655000.0,-2471000.0,-593000.0,-1777000.0,81000.0,-512000.0,,,,,,,,,,,,,,,,
ABMD,2018-03-31,USD,2017,FY,593749000.0,-98581000.0,157137000.0,-338031000.0,11005000.0,168142000.0,,,,,,,,,,,,,,,,
ABMD,2019-03-31,USD,2018,FY,769432000.0,-129567000.0,224812000.0,-415053000.0,14121000.0,238933000.0,,,,,,,,,,,,,,,,
ABMD,2020-03-31,USD,2019,FY,840883000.0,-151305000.0,249219000.0,-440359000.0,20430000.0,269649000.0,,,,,,,,,,,,,,,,
ABT,2017-12-31,USD,2017,FY,27390000000.0,-12337000000.0,1726000000.0,-13327000000.0,3021000000.0,4747000000.0,,,,,,,,,,,,,,,,
ABT,2018-12-31,USD,2018,FY,30578000000.0,-12706000000.0,3650000000.0,-14222000000.0,3278000000.0,6928000000.0,US,ABT US,64.0,Abbott Laboratories,2018.0,2018-08-15T00:00:00Z,United States of America,," Investor, Supply Chain"," Health care facilities, Health care services, Health care supplies, Medical equipment, Other food processing, Pharmaceuticals"," Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services"," Biotech, health care & pharma, Food, beverage & agriculture, Services",Health care supplies,Medical equipment & supplies,"Biotech, health care & pharma",General
ABT,2019-12-31,USD,2019,FY,31904000000.0,-13231000000.0,4532000000.0,-14141000000.0,3014000000.0,7546000000.0,US,ABT US,64.0,Abbott Laboratories,2019.0,2019-07-31T13:03:46Z,United States of America,," Investor, Supply Chain"," Health care facilities, Health care services, Health care supplies, Medical equipment, Other food processing, Pharmaceuticals"," Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services"," Biotech, health care & pharma, Food, beverage & agriculture, Services",Health care facilities,Health care provision,"Biotech, health care & pharma",General
ABTL,2017-12-31,USD,2017,FY,142125000.0,-99352000.0,11567000.0,-31206000.0,7653000.0,19220000.0,,,,,,,,,,,,,,,,
ABTL,2018-12-31,USD,2018,FY,125589000.0,-110329000.0,-18133000.0,-33393000.0,8544000.0,-9589000.0,,,,,,,,,,,,,,,,
ABTL,2019-12-31,USD,2019,FY,113981000.0,-91412000.0,-6489000.0,-29058000.0,6454000.0,-35000.0,,,,,,,,,,,,,,,,
AC,2017-12-31,USD,2017,FY,26915000.0,,-19673000.0,-46588000.0,16000.0,-19657000.0,,,,,,,,,,,,,,,,
AC,2018-12-31,USD,2018,FY,22779000.0,,-13480000.0,-36259000.0,21000.0,-13459000.0,CN,AC CN,427.0,Air Canada,2018.0,2018-09-04T00:00:00Z,Canada,," Investor, Supply Chain"," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services
AC,2019-12-31,USD,2019,FY,31265000.0,,-10045000.0,-41310000.0,30000.0,-10015000.0,CN,AC CN,427.0,Air Canada,2019.0,2019-07-30T16:09:05Z,Canada,," Investor, Supply Chain"," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services
ACA,2017-12-31,USD,2017,FY,1462400000.0,-1167700000.0,131700000.0,-163000000.0,65700000.0,197400000.0,,,,,,,,,,,,,,,,
ACA,2018-12-31,USD,2018,FY,1460400000.0,-1188400000.0,118100000.0,-153900000.0,67600000.0,185700000.0,,,,,,,,,,,,,,,,
ACA,2019-12-31,USD,2019,FY,1736900000.0,-1404500000.0,152900000.0,-179500000.0,85800000.0,238700000.0,,,,,,,,,,,,,,,,
ACAD,2017-12-31,USD,2017,FY,124901000.0,-9077000.0,-292410000.0,-408234000.0,2713000.0,-289697000.0,,,,,,,,,,,,,,,,
ACAD,2018-12-31,USD,2018,FY,223807000.0,-12377000.0,-247444000.0,-458874000.0,3005000.0,-244439000.0,,,,,,,,,,,,,,,,
ACAD,2019-12-31,USD,2019,FY,339076000.0,-11344000.0,-246545000.0,-574277000.0,2766000.0,-243779000.0,,,,,,,,,,,,,,,,
ACET,2017-06-30,USD,2017,FY,638318000.0,-497526000.0,30554000.0,-110238000.0,23754000.0,54308000.0,,,,,,,,,,,,,,,,
ACET,2018-06-30,USD,2018,FY,711359000.0,-599796000.0,-18746000.0,-130309000.0,32812000.0,14066000.0,,,,,,,,,,,,,,,,
ACF,2017-06-30,USD,2017,FY,12151000000.0,,4346000000.0,-7805000000.0,6706000000.0,11052000000.0,,,,,,,,,,,,,,,,
ACF,2018-06-30,USD,2018,FY,14016000000.0,,5577000000.0,-8439000000.0,7697000000.0,13274000000.0,,,,,,,,,,,,,,,,
ACF,2019-06-30,USD,2019,FY,14554000000.0,,6305000000.0,-8249000000.0,7538000000.0,13843000000.0,,,,,,,,,,,,,,,,
ACGL,2017-12-31,USD,2017,FY,5627375000.0,,990490000.0,-4636885000.0,125778000.0,1116268000.0,,,,,,,,,,,,,,,,
ACGL,2018-12-31,USD,2018,FY,5450568000.0,,892854000.0,-4557714000.0,105670000.0,998524000.0,,,,,,,,,,,,,,,,
ACGL,2019-12-31,USD,2019,FY,6928200000.0,,1990591000.0,-4937609000.0,82104000.0,2072695000.0,,,,,,,,,,,,,,,,
ACHC,2017-12-31,USD,2017,FY,2836316000.0,-1923597000.0,437882000.0,-474837000.0,143010000.0,580892000.0,,,,,,,,,,,,,,,,
ACHC,2018-12-31,USD,2018,FY,3012442000.0,-2086369000.0,390667000.0,-535406000.0,158832000.0,549499000.0,,,,,,,,,,,,,,,,
ACHC,2019-12-31,USD,2019,FY,3107462000.0,-2163453000.0,404532000.0,-539477000.0,164044000.0,568576000.0,,,,,,,,,,,,,,,,
ACIA,2017-12-31,USD,2017,FY,385166000.0,-217326000.0,37006000.0,-130834000.0,12280000.0,49286000.0,,,,,,,,,,,,,,,,
ACIA,2018-12-31,USD,2018,FY,339891000.0,-192771000.0,-7150000.0,-154270000.0,13646000.0,6496000.0,,,,,,,,,,,,,,,,
ACIA,2019-12-31,USD,2019,FY,464663000.0,-243981000.0,11401000.0,-209281000.0,12559000.0,23960000.0,,,,,,,,,,,,,,,,
ACLS,2017-12-31,USD,2017,FY,410561000.0,-260314000.0,47842000.0,-102405000.0,5002000.0,52844000.0,,,,,,,,,,,,,,,,
ACLS,2018-12-31,USD,2018,FY,442575000.0,-262939000.0,59959000.0,-119677000.0,5772000.0,65731000.0,,,,,,,,,,,,,,,,
ACLS,2019-12-31,USD,2019,FY,342958000.0,-198806000.0,24205000.0,-119947000.0,7880000.0,32085000.0,,,,,,,,,,,,,,,,
ACLZ,2017-12-31,USD,2017,FY,24104624.0,-9066896.0,-1104726.0,-16142454.0,707081.0,-397645.0,,,,,,,,,,,,,,,,
ACLZ,2018-12-31,USD,2018,FY,21729605.0,-9075828.0,-8837015.0,-21490792.0,604258.0,-8232757.0,,,,,,,,,,,,,,,,
ACM,2017-09-30,USD,2017,FY,18203402000.0,-17519682000.0,550411000.0,-133309000.0,278631000.0,829042000.0,,,,,,,,,,,,,,,,
ACM,2018-09-30,USD,2018,FY,20155512000.0,-19504863000.0,514862000.0,-135787000.0,267570000.0,782432000.0,,,,,,,,,,,,,,,,
ACM,2019-09-30,USD,2019,FY,20173329000.0,-19359884000.0,665322000.0,-148123000.0,261185000.0,926507000.0,,,,,,,,,,,,,,,,
ACN,2017-08-31,USD,2017,FY,36765478000.0,-25734986000.0,4632609000.0,-6397883000.0,801789000.0,5434398000.0,,,,,,,,,,,,,,,,
ACN,2018-08-31,USD,2018,FY,41603428000.0,-29160515000.0,5841041000.0,-6601872000.0,926776000.0,6767817000.0,,,,,,,,,,,,,,,,
ACN,2019-08-31,USD,2019,FY,43215013000.0,-29900325000.0,6305074000.0,-7009614000.0,892760000.0,7197834000.0,,,,,,,,,,,,,,,,
ACN,2020-08-31,USD,2020,FY,44327039000.0,-30350881000.0,6513644000.0,-7462514000.0,1773124000.0,8286768000.0,,,,,,,,,,,,,,,,
ACRX,2017-12-31,USD,2017,FY,7995000.0,-10659000.0,-38682000.0,-36018000.0,1744000.0,-36938000.0,,,,,,,,,,,,,,,,
ACRX,2018-12-31,USD,2018,FY,2151000.0,-3976000.0,-35727000.0,-33902000.0,575000.0,-35152000.0,,,,,,,,,,,,,,,,
ACRX,2019-12-31,USD,2019,FY,2289000.0,-6806000.0,-54205000.0,-49688000.0,1668000.0,-52537000.0,,,,,,,,,,,,,,,,
ACY,2017-12-31,USD,2017,FY,34464900.0,,17208300.0,-17256600.0,12025600.0,29233900.0,,,,,,,,,,,,,,,,
ACY,2018-12-31,USD,2018,FY,30525100.0,,14434300.0,-16090800.0,12698800.0,27133100.0,,,,,,,,,,,,,,,,
ACY,2019-12-31,USD,2019,FY,43442800.0,,26263800.0,-17179000.0,11587500.0,37851300.0,,,,,,,,,,,,,,,,
ADBE,2017-11-30,USD,2017,FY,7301505000.0,-1010491000.0,2168095000.0,-4122919000.0,325997000.0,2494092000.0,,,,,,,,,,,,,,,,
ADBE,2018-11-30,USD,2018,FY,9030008000.0,-1194999000.0,2840369000.0,-4994640000.0,346492000.0,3186861000.0,US,ADBE US,333.0,"Adobe, Inc.",2018.0,2018-08-15T00:00:00Z,United States of America,," Investor, Supply Chain", Software, IT & software development, Services,Software,IT & software development,Services,General
ADBE,2019-11-30,USD,2019,FY,11171297000.0,-1672720000.0,3268121000.0,-6230456000.0,736669000.0,4004790000.0,US,ADBE US,333.0,"Adobe, Inc.",2019.0,2019-07-30T16:31:55Z,United States of America,," Investor, Supply Chain", Software, IT & software development, Services,Software,IT & software development,Services,General
ADES,2017-12-31,USD,2017,FY,35692000.0,-28451000.0,-13814000.0,-21055000.0,789000.0,-13025000.0,,,,,,,,,,,,,,,,
ADES,2018-12-31,USD,2018,FY,23945000.0,353000.0,-6400000.0,-30698000.0,723000.0,-5677000.0,,,,,,,,,,,,,,,,
ADES,2019-12-31,USD,2019,FY,70086000.0,,-14893000.0,-84979000.0,7371000.0,-7522000.0,,,,,,,,,,,,,,,,
ADI,2017-10-31,USD,2017,FY,5107503000.0,-2045907000.0,1055134000.0,-2006462000.0,584059000.0,1639193000.0,,,,,,,,,,,,,,,,
ADI,2018-10-31,USD,2018,FY,6200942000.0,-1967640000.0,1881735000.0,-2351567000.0,799063000.0,2680798000.0,US,ADI US,746.0,"Analog Devices, Inc.",2018.0,2018-08-16T00:00:00Z,United States of America,," Investor, Supply Chain", Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General
ADI,2019-10-31,USD,2019,FY,5991065000.0,-1977315000.0,1710608000.0,-2303142000.0,811251000.0,2521859000.0,US,ADI US,746.0,"Analog Devices, Inc.",2019.0,2019-08-29T01:53:43Z,United States of America,," Investor, Supply Chain", Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General
ADIL,2017-12-31,USD,2017,FY,,,-995286.0,-995286.0,565.0,-994721.0,,,,,,,,,,,,,,,,
ADIL,2018-12-31,USD,2018,FY,,,-6987222.0,-6987222.0,563.0,-6986659.0,,,,,,,,,,,,,,,,
ADIL,2019-12-31,USD,2019,FY,,,-8244900.0,-8244900.0,565.0,-8244335.0,,,,,,,,,,,,,,,,
ADM,2017-06-30,USD,2017,FY,60828000000.0,-57322000000.0,1513000000.0,-1993000000.0,924000000.0,2437000000.0,,,,,,,,,,,,,,,,
ADM,2018-06-30,USD,2018,FY,64341000000.0,-60160000000.0,2016000000.0,-2165000000.0,941000000.0,2957000000.0,US,ADM US,912.0,Archer Daniels Midland,2018.0,2018-09-04T00:00:00Z,United States of America,," Investor, Supply Chain"," Agricultural products wholesale, Banks, Biofuel processing, Food & beverage wholesale, Grain & corn milling, Oilseed processing, Other food processing, Road freight"," Chemicals, Financial services, Food & beverage processing, Road transport, Trading, wholesale, distribution, rental & leasing"," Food, beverage & agriculture, Materials, Retail, Services, Transportation services",Oilseed processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco"
ADM,2019-06-30,USD,2019,FY,64656000000.0,-60509000000.0,1654000000.0,-2493000000.0,993000000.0,2647000000.0,US,ADM US,912.0,Archer Daniels Midland,2019.0,2019-08-05T18:09:13Z,United States of America,," Investor, Supply Chain"," Agricultural products wholesale, Banks, Biofuel processing, Food & beverage wholesale, Grain & corn milling, Oilseed processing, Other food processing, Road freight"," Chemicals, Financial services, Food & beverage processing, Road transport, Trading, wholesale, distribution, rental & leasing"," Food, beverage & agriculture, Materials, Retail, Services, Transportation services",Oilseed processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco"
ADMA,2017-12-31,USD,2017,FY,22760560.0,-29164321.0,-38464607.0,-32060846.0,2692301.0,-35772306.0,,,,,,,,,,,,,,,,
ADMA,2018-12-31,USD,2018,FY,16985290.0,-42194635.0,-60288944.0,-35079599.0,3446398.0,-56842546.0,,,,,,,,,,,,,,,,
ADMA,2019-12-31,USD,2019,FY,29349083.0,-39504238.0,-41424327.0,-31269172.0,3258148.0,-38166179.0,,,,,,,,,,,,,,,,
ADP,2017-06-30,USD,2017,FY,12379800000.0,-7269800000.0,2326800000.0,-2783200000.0,316100000.0,2642900000.0,,,,,,,,,,,,,,,,
ADP,2018-06-30,USD,2018,FY,13325800000.0,-7842600000.0,2511700000.0,-2971500000.0,377600000.0,2889300000.0,US,ADP US,1203.0,"Automatic Data Processing, Inc.",2018.0,2018-09-06T00:00:00Z,United States of America,," Investor, Supply Chain"," Banks, Other financial"," Financial services, Specialized professional services", Services,Banks,Financial services,Services,General
ADP,2019-06-30,USD,2019,FY,14175200000.0,-8086600000.0,3024400000.0,-3064200000.0,409000000.0,3433400000.0,US,ADP US,1203.0,"Automatic Data Processing, Inc.",2019.0,2019-07-30T12:42:56Z,United States of America,," Investor, Supply Chain"," Banks, Other financial"," Financial services, Specialized professional services", Services,Other financial,Specialized professional services,Services,General
ADP,2020-06-30,USD,2020,FY,14589800000.0,-8445100000.0,3141700000.0,-3003000000.0,480000000.0,3621700000.0,US,ADP US,1203.0,"Automatic Data Processing, Inc.",2020.0,2020-08-24T23:54:34Z,United States of America,," Investor, Supply Chain"," Banks, Other financial"," Financial services, Specialized professional services", Services,Other financial,Specialized professional services,Services,General
ADRO,2017-12-31,USD,2017,FY,17239000.0,,-106453000.0,-123692000.0,3985000.0,-102468000.0,,,,,,,,,,,,,,,,
ADRO,2018-12-31,USD,2018,FY,15087000.0,,-97368000.0,-112455000.0,4953000.0,-92415000.0,,,,,,,,,,,,,,,,
ADRO,2019-12-31,USD,2019,FY,17258000.0,,-85136000.0,-102394000.0,4863000.0,-80273000.0,,,,,,,,,,,,,,,,
ADS,2017-12-31,USD,2017,FY,7719400000.0,-4269900000.0,1645500000.0,-1804000000.0,497600000.0,2143100000.0,,,,,,,,,,,,,,,,
ADS,2018-12-31,USD,2018,FY,7791200000.0,-4220900000.0,1894300000.0,-1676000000.0,487300000.0,2381600000.0,US,ADS US,40183.0,Alliance Data Systems,2018.0,2018-08-16T00:00:00Z,United States of America,," Investor, Supply Chain"," Banks, Marketing, Other financial"," Financial services, Specialized professional services, Web & marketing services", Services,Banks,Financial services,Services,General
ADS,2019-12-31,USD,2019,FY,5581300000.0,-2687800000.0,1379300000.0,-1514200000.0,249300000.0,1628600000.0,US,ADS US,40183.0,Alliance Data Systems,2019.0,2019-06-27T18:59:53Z,United States of America,," Investor, Supply Chain"," Banks, Marketing, Other financial"," Financial services, Specialized professional services, Web & marketing services", Services,Banks,Financial services,Services,General
ADSK,2018-01-31,USD,2017,FY,2056600000.0,-303400000.0,-415000000.0,-2168200000.0,108400000.0,-306600000.0,,,,,,,,,,,,,,,,
